address,latitude,longitude,status,original_index
22XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID,319.0
30XX PENNIMAN RD DENTON TX ,33.223932,-97.0986677,VALID,320.0
13XX WINDSTREAM ST DENTON TX ,33.2436869,-97.1233638,VALID,321.0
7XX WINDSWEPT CT DENTON TX ,33.2436994,-97.1238224,VALID,322.0
6XX WINDFIELDS ST DENTON TX ,33.2430187,-97.1241861,VALID,323.0
6XX WINDSWEPT CT DENTON TX ,33.2436994,-97.1238224,VALID,324.0
96XX JIM CHRISTAL RD DENTON TX ,33.2201562,-97.2053052,VALID,325.0
22XX SAN JACINTO BLVD DENTON TX ,33.1923138,-97.1093771,VALID,326.0
5XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID,327.0
17XX BRINKER RD DENTON TX ,33.1883701,-97.095871,VALID,328.0
12XX CLEVELAND ST DENTON TX ,33.2041349,-97.1379203,VALID,329.0
20XX FAIRMOUNT PARK DR DENTON TX ,33.1516868,-97.1099244,VALID,330.0
3XX E SYCAMORE ST DENTON TX ,33.2124371,-97.125394,VALID,331.0
17XX VILLAGE EAST DR DENTON TX ,33.2341069,-97.1009876,VALID,332.0
39XX LARIAT RD DENTON TX ,33.2357069,-97.1906173,VALID,333.0
17XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,334.0
27XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,335.0
56XX PARKPLACE DR DENTON TX ,33.1341609,-97.1880513,VALID,336.0
10XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,337.0
S CARROLL BLVD DENTON TX ,33.2093664,-97.137149,VALID,338.0
22XX JAGUAR FRISCO TX ,33.1246732,-96.80611789999999,VALID,339.0
3XX MILL ST DENTON TX ,33.2064589,-97.1280704,VALID,340.0
12XX POINSETTIA BLVD DENTON TX ,33.2543469,-97.1106221,VALID,341.0
38XX DREXEL DR DENTON TX ,33.1605368,-97.0961357,VALID,342.0
48XX ARGYLE LN DENTON TX ,33.1518064,-97.1545305,VALID,343.0
9XX BEECHWOOD DR DENTON TX ,33.168017,-97.1449429,VALID,344.0
3XX NORMAL ST DENTON TX ,33.2171112,-97.1491473,VALID,345.0
9XX CLEVELAND ST DENTON TX ,33.2041349,-97.1379203,VALID,346.0
